Package Name,Version,Architecture,Vendor,Install Time,Agent ID,Agent Name
virt-what,1.18-4.el7,x86_64,CentOS,2020-04-30 22:06:49,000,wazuhserver6
mariadb-libs,1:5.5.65-1.el7,x86_64,CentOS,2020-04-30 22:06:14,000,wazuhserver6
libverto-libevent,0.2.5-4.el7,x86_64,CentOS,2020-04-30 22:06:00,000,wazuhserver6
pyliblzma,0.5.3, , ,Error parsing install time: invalid literal for int() with base 10: ' ',000,wazuhserver6
elfutils-libelf,0.176-4.el7,x86_64,CentOS,2020-04-30 22:05:20,000,wazuhserver6
sed,4.2.2-6.el7,x86_64,CentOS,2020-04-30 22:05:17,000,wazuhserver6
dhclient,12:4.2.5-79.el7.centos,x86_64,CentOS,2020-04-30 22:06:56,000,wazuhserver6
libuuid,2.23.2-63.el7,x86_64,CentOS,2020-04-30 22:05:17,000,wazuhserver6
libnl3-cli,3.2.28-4.el7,x86_64,CentOS,2020-04-30 22:05:24,000,wazuhserver6
fipscheck-lib,1.4.1-6.el7,x86_64,CentOS,2020-04-30 22:06:13,000,wazuhserver6
hyperv-daemons,0-0.34.20180415git.el7,x86_64,CentOS,2020-04-30 22:06:56,000,wazuhserver6
NetworkManager,1:1.18.4-3.el7,x86_64,CentOS,2020-04-30 22:06:44,000,wazuhserver6
yum-metadata-parser,1.1.4, , ,Error parsing install time: invalid literal for int() with base 10: ' ',000,wazuhserver6
libmspack,0.5-0.7.alpha.el7,x86_64,CentOS,2020-04-30 22:06:18,000,wazuhserver6
decorator,3.4.0, , ,Error parsing install time: invalid literal for int() with base 10: ' ',000,wazuhserver6
less,458-9.el7,x86_64,CentOS,2020-04-30 22:05:31,000,wazuhserver6
krb5-libs,1.15.1-46.el7,x86_64,CentOS,2020-04-30 22:05:52,000,wazuhserver6
procps-ng,3.3.10-27.el7,x86_64,CentOS,2020-04-30 22:06:23,000,wazuhserver6
quota,1:4.01-19.el7,x86_64,CentOS,2020-04-30 22:06:42,000,wazuhserver6
ethtool,2:4.8-10.el7,x86_64,CentOS,2020-04-30 22:06:22,000,wazuhserver6
